Etiqueta;# Muestras;Media;Min;Max;Desv. Estándar;% Error;Rendimiento;Kb/sec;Sent KB/sec;Media de Bytes
Petición API Regres;10;210;198;245;15,67;0,00%;0,05551;0,06;0,01;1186
Total;10;210;198;245;15,67;0,00%;0,05551;0,06;0,01;1186
